"ResponseId_B","Discipline","Q3_B_other_specify"
"R_tYRjTAJIablB7RD","MEDI","BACKGROUND WAS ONLY USED"
"R_5yDzE0ZX9V6LMFH","PHYS","Because our publication reports our own, original data; the cited paper by [redacted] is a review paper and it was cited to help the reader get a general overview of the field."
"R_3gumXY4D35reFEJ","BIOC","Both [redacted] and our articles were review articles, not containing any primary data."
"R_2YKBcSuy7sn8EgK","MATE","Both papers are from the same authors but the materials are different"
"R_1kUnkUg6WMDLDOf","BIOC","Both the cited paper and our paper are reviews of the literature, thus not primary research papers."
"R_PUII2osZkCwtfq1","PHYS","Citation to prior related work but the data from the cited paper are not directly applicable to our work."
"R_2zUdsvRsFVfgqdF","MEDI","cited for general context, not for specific data sets"
"R_ODqW0oeSL3YszYd","MEDI","cited reference for review"
"R_b7ab7hhveIrR4Ah","CHEM","Data cannot be used because the research objects are different."
"R_27yeVh7e2ccTwyw","MATE","Data in the cited paper was not relevant."
"R_2OUVFH0lIR1dKxy","PHYS","Data not needed for the purposes of my paper."
"R_1pEBh2UN6okoaIx","ENGI","Data per-se not relevant to our research. Citation was not for data."
"R_2zDcuroEmBiMDeP","MEDI","Data was publicly available and could be tailored to my analysis"
"R_1mlno7B2L2yRl5w","MEDI","Didn't need data. Just citing the conclusions of the study."
"R_2DMI4g1gCeufzcn","CHEM","I just cite [redacted] as one of the references."
"R_1gLx4nDbPod1Noe","CHEM","I just cited this in the introduction as an example of an enhanced sampling method. No need to use data from that paper."
"R_AFocq0i6p0PPWrn","BIOC","I just presented one of their key findings in a single sentence in my review paper. Unless that's considered data too."
"R_1OVq4LqpHuD8lWT","CHEM","I used the methodology described in the paper, not the data."
"R_2awuydJ9zfXIHtU","PHYS","I was referring to the results in the paper and comparing them to the results in a different paper."
"R_2pXLPzUbDghPQtc","MEDI","I'm not sure I understand- I think the paper was just used as a reference "
"R_3GljouHj0kGJxNg","PHYS","independent method to obtain data"
"R_2Vl1bKFWkISxnlD","ENGI","It was a positional paper"
"R_2frJeok6yGQKzXM","PHYS","It was a review paper!"
"R_265VDRIQWunASKP","BIOC","It was the introduction of the paper and hence not required."
"R_1CvfgJgUBLu30LF","MEDI","Just wanted methods description"
"R_tRtm40zI7Jc7ez7","MEDI","My article was a Commentary - no data!"
"R_3GleUwqnoXFpku5","BIOC","My article was a review."
"R_2Eog5quRlk6qbWC","CHEM","no need, we were citing methodology"
"R_1IEQQf4Sl1fC5aO","ENGI","Not necessary to use "
"R_cI1IrSjSeSj3tJL","MEDI","Our contribution was a new study.  Why would we have used their data?"
"R_8v0JxZKxMSv3xWV","BIOC","Our paper was a review paper. [redacted]'s paper was also a review paper of sorts - they did generate some datasets to illustrate their points, but we did not need to re-use these datasets."
"R_3k0cQUWojIWP1Xc","COMP","Science is about exploration, not a race of algorithms. We do not run for a medal of a race. So for new findings, not all papers need to compare with others. "
"R_1invNAebOXoubRl","ENGI","Study area was different"
